transaction_date,address,cnt,total_transferred,direction,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-21,0xd2ed366393fdfd243931fe48e9fb65a192b0018c,1,0,out,-0.0,0,0.0
2024-06-21,0x5f451da1b3ad7bf2845573fcca2808d75065a6f4,1,0,out,-0.0,0,0.0
2024-06-21,0x80c67432656d59144ceff962e8faf8926599bcf8,1,0,out,-0.0,0,0.0
2024-06-21,0x5f451da1b3ad7bf2845573fcca2808d75065a6f4,1,0,in,0.0,0,0.0
2024-08-27,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,0,out,-0.0,0,0.0
2024-08-31,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,0,out,-0.0,0,0.0
2024-09-17,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,0,out,-0.0,0,0.0
2024-10-08,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,0,out,-0.0,0,0.0
2024-10-29,0xcdf27f107725988f2261ce2256bdfcde8b382b10,2,0,out,-0.0,0,0.0
2024-11-04,0x5f451da1b3ad7bf2845573fcca2808d75065a6f4,1,0,out,-0.0,0,0.0
2024-11-04,0x5f451da1b3ad7bf2845573fcca2808d75065a6f4,1,0,in,0.0,0,0.0
2024-11-22,0x80c67432656d59144ceff962e8faf8926599bcf8,1,-120350000000009019,out,-120.35000000000902,-120350000000009019,-120.35000000000902
2024-12-08,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,0,out,-0.0,0,0.0
2024-12-17,0xcdf27f107725988f2261ce2256bdfcde8b382b10,11,0,out,-0.0,0,0.0
2025-01-14,0xcdf27f107725988f2261ce2256bdfcde8b382b10,9,0,out,-0.0,0,0.0
